Name,Description,Logo_url
Webcat,"Design, connect, deploy, test, manage and extend your application all in one place.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Webcat-471cd80c-78d6-444e-aec9-e2506ecc53ec.png
Wonda VR,Empowering universities and businesses with immersive communication solutions.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Wonda VR-e511095b-c942-4ff4-9887-0a2b64ccae53.png
Webflow,"Build custom blogs, portfolios, ecommerce stores, and more with a flexible CMS.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Webflow-cecd17e4-0a38-43b6-b1c8-7ea1a9a9d8c1.png
Personality,Unknown platform. No information available.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Personality-750ab2ec-1103-4b6d-b2ef-42614c3de97b.png
Hivewire,Status is a modern project management platform built for customer onboarding and implementation workflows.,https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598877399x381109782109323900/Hivewire%20.jpeg
Wordpress,"Premium WP Hosting for Everyone, Small or Large. It's a popular tool for individuals without any coding experience who want to build websites and blogs.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Wordpress-af556a15-8de7-4113-9cf7-773967553f79.png
PandaFlow,Pandaflow is a low code automation and integration platform. It allows you to integrate with any systems and automate your workflows.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/PandaFlow-fac58c08-a5c7-4484-938c-60f55aa7fe94.png
Divjoy,Divjoy helps you create the perfect codebase and UI for your next React project.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Divjoy-321671b1-2d81-4f28-9c8d-a6ab823b8166.png
Budibase,"Budibase is a modern, open-source low-code platform for building modern internal applications in minutes.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Budibase-84f0ddee-48cb-4511-a199-e14359874932.png
Instadeq,"Instadeq is the easiest way for individuals and teams to collaboratively analyze and share data, visualizations, and dashboards.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Instadeq-feb25779-57c9-4c96-b79c-0ddd592cfc08.png
Kodular,"Kodular, a free platform to let your ideas become Android apps.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Kodular-d57bb1a2-7b4f-4679-86eb-2db5d223dc71.png
SpreadsheetWEB,SpreadsheetWeb is a no-code platform that helps businesses translate their collective Excel expertise into robust web applications with no IT support.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/SpreadsheetWEB-abbded08-1e88-4d6c-8c32-be6e7df78862.png
MailerLite,Digital marketing tools to grow your audience faster and drive revenue smarter. Backed by 24/7 award-winning support.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/MailerLite-b4f4121b-ee6f-45ab-9247-4bcc619e27f5.png
apprat.io,Launch your websites in style with apprat.io. And convert new or existing sites into iOS & Android apps.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/apprat.io-9fab02ce-1438-4d10-8db7-3fd5e1cc93e1.png
Chatforma,"Automate business processes and increase sales using chat bots on Facebook, Telegram, VKontakte and Viber",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Chatforma-247d37f3-c3c5-4316-be75-07074a4fac66.png
UiPath,"UiPath streamlines processes, uncovers efficiencies and provides insights, making the path to digital transformation fast and cost-effective.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/UiPath-6901a186-d618-4c26-a170-5f7947d0f248.png
Umso,The fastest way for startups to go live. Design and publish a beautiful website in no time.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Umso-c89eca43-7d36-4150-ba9e-6a804c3b486a.png
Sharetribe,Advanced marketplace software for every stage of your business life cycle.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Sharetribe-9f4af94b-17c4-42f0-afc4-755b7bac2253.png
Ninox,Ninox keeps all of your information at your fingertips in one central location.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Ninox-8e120be0-6fdd-405e-a92f-4ac6fc569e34.png
Placid,Use our image generation API in nocode workflows to automatically create your share images.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Placid-44de2233-5fbf-44b8-a263-ed4ada5b4864.png
Appdrag,"Platform uses only standard market technologies giving developers, designers, integrators, graphic designers the opportunity to use our solution for their projects.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Appdrag-9f1366a4-8df7-4315-bfe1-12b03f472fda.png
Substack,Substack lets independent writers and podcasters publish directly to their audience and get paid through subscriptions.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Substack-fbff3c00-a0bd-4e7d-bcd2-3cfae55f3ecd.png
Sheetsu,"Sheetsu helps you connect Google Sheets to anything - Web, Mobile, IoT or any service's API.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Sheetsu-e0b98ee9-a605-41e4-b1db-f7611825de90.png
Makezu,"AI-based platform to connect with potential customers as soon as they express a need, and grow relevant community and reputation.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Makezu-c9e4d344-7f27-4faa-8c07-99a21cc0eff3.png
Sheet2Site,"Sheet2Site is a website builder that lets you create your own website without writing code using only Google Sheets with pictures, filters and links.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Sheet2Site-253451dd-aeb9-466c-b0e4-de3c4549f0ba.png
Coda,"Simple. Familiar. But built to adapt to your team’s needs. Coda brings all your words, data, and teamwork into one powerful doc.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Coda-86c4d60e-2a0d-4af6-9d51-9a9ef004685c.png
Wix,"Use the professional Wix platform to bring your boldest ideas to life. Thanks to flexible design and management settings, your opportunities for business development become limitless. ",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Wix-dfcaa60d-e807-4252-9785-baf8cf05d268.png
Appeggio,"Appeggio empowers everyone to create and launch an app that works as a website and as a native app for iPhone and Android, without writing a line of code.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Appeggio-25aa040c-4ec9-4ecc-a1e1-a08101f86344.png
Rive,The design tool that creates functional graphics.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Rive-44a2adf9-1d54-419d-a2e8-14eeaacc6553.png
AppOnboard Studio,"AppOnboard, the leading no-code platform for building video games, empowers the Maker Generation with #NoCode software.",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598829973x832174480257323900/AppOnboard%20Studio%20.png
Sidemail,"Sidemail is a set of email tools that internet businesses use for sending emails to their customers, users, and subscribers in the easiest way possible.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Sidemail-5d720da7-8edf-4695-a700-6e1d0f0a174f.png
FlowXO,"Flow XO is a powerful automation product that allows you to quickly and simply build incredible AI chatbot solutions that help you communicate and engage with your customers across a wide range of sites, applications and social media platforms.",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598807926x960504145324839300/FlowXO%20.png
openVALIDATION,"Compose validation rules in the language you use every day, openVALIDATION handles code creation for you.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/openVALIDATION-009a3431-e077-47ab-9e58-8c0003448370.png
Solidpixels,Solidpixels is the fastest way to create a website on par with global brands. Just as gorgeous and equally functional.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Solidpixels-497b54fd-aabd-488a-a627-acd8d3190efd.png
Table2Site,"Build several pages within your content sheet. Each row represents a section on a page. We offer predefined sections such as contact forms, newsletter signups, text sections, etc...",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Table2Site-32a8df33-d8ba-4c3f-a64e-18fa4ea4025c.png
Shoutem,Shoutem is app maker where you need only your imagination to create your app ideas.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Shoutem-a0d3cbc6-cd66-4769-8c55-0a41df906ee9.png
Mesa,The easy-to-use answer for automating the everyday challenges of running a Shopify store.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Mesa-9a8a7f3f-92be-408c-8f39-dac4ba08fe8c.png
PlugXR,The PlugXR platform is an easy-to-use Cloud-based Augmented Reality platform for creating and publishing advanced AR Apps & Experiences.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/PlugXR-a8498c75-7444-4f1e-98b5-59c5661a0a24.png
Jet,Build custom business apps such as internal tools or client portals incredibly fast and without code.,https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598780350x386106723823301400/Jet%20.png
